id,leverage,blast,eval,regr,safety,fly,actuation,phase_status,cluster,name
AT-80,copilot,low,none,low,med,consumer,reversible,now,Commercial & Stakeholder,Run AI win-loss analysis
AT-81,human-led,low,none,low,med,none,reversible,now,Commercial & Stakeholder,Prepare an exec or board update on AI quality and economics
AT-82,human-led,low,none,low,med,none,reversible,now,Commercial & Stakeholder,Respond to a why is the AI wrong escalation
AT-83,human-led,med,none,low,high,none,reversible,now,Commercial & Stakeholder,Author the AI trust and transparency narrative for buyers
AT-84,copilot,low,partial,low,none,consumer,reversible,now,Commercial & Stakeholder,Build an AI adoption and engagement scorecard
AT-85,human-led,high,none,low,high,producer,reversible,now,Commercial & Stakeholder,Handle AI data-use consent and disclosure in the product
AT-86,copilot,low,gated,low,none,none,reversible,now,Commercial & Stakeholder,Competitive AI capability and pricing teardown
EVL-01,autonomous,low,partial,low,med,producer,reversible,now,Measurement & Monitoring,Verify trace instrumentation
EVL-02,autonomous,low,partial,low,med,consumer,reversible,now,Eval & Spec Definition (hub),Pull a smart trace sample for review
EVL-03,human-led,low,none,low,med,producer,reversible,now,Eval & Spec Definition (hub),Run an open-coding pass
EVL-04,copilot,low,partial,med,med,producer,reversible,now,Eval & Spec Definition (hub),Axial-code notes into a failure taxonomy
EVL-05,copilot,low,partial,med,med,producer,reversible,now,Eval & Spec Definition (hub),Quantify failure rates and triage each mode
EVL-06,copilot,med,partial,high,med,producer,reversible,now,Eval & Spec Definition (hub),Build a from-prod failure dataset
EVL-07,copilot,low,gated,med,none,producer,reversible,now,Eval & Spec Definition (hub),Write a code or assertion grader
EVL-08,copilot,med,partial,high,med,producer,reversible,now,Eval & Spec Definition (hub),Build and validate an LLM-judge
EVL-09,copilot,med,partial,high,med,producer,reversible,now,Eval & Spec Definition (hub),Recalibrate a judge against fresh labels
EVL-10,copilot,med,partial,high,med,producer,reversible,now,Eval & Spec Definition (hub),Generate and validate structured synthetic data
EVL-11,copilot,med,partial,high,med,producer,reversible,now,Eval & Spec Definition (hub),Curate golden and adversarial sets; version splits
EVL-12,autonomous,med,gated,high,med,none,reversible,now,Eval & Spec Definition (hub),Configure eval-gated CI (assertions then judges)
EVL-13,copilot,med,gated,med,med,consumer,reversible,now,Measurement & Monitoring,Wire online scoring and drift alerts
EVL-14,copilot,med,partial,high,med,none,reversible,now,Measurement & Monitoring,Investigate an eval-score regression (RCA)
EVL-15,copilot,low,partial,med,none,consumer,reversible,now,Measurement & Monitoring,Build the agent transition-failure matrix
EVL-16,copilot,high,gated,high,med,none,reversible,now,Measurement & Monitoring,Plan eval-gated canary/shadow and rollback
