id,row_type,name,aidlc_phase,cluster,description,general_steps,reasoning_model,tools_in_practice,common_pitfalls,ai_leverage,ai_opportunity,evidence,eval_coverage,regression_risk,safety_exposure,flywheel_linkage,maps_to_classic,phase_status
AT-11,net-new,Design an LLM-as-judge scorer and rubric,2-Eval-Spec,Eval & Spec Definition (hub),"Build an LLM-judge scorer for nuanced qualities code cannot check (tone, faithfulness, helpfulness).","Write the judge prompt with good/bad examples|Use chain-of-thought scoring|Choose the judge model (often different from task model)|Pin the version","A judge prompt is product knowledge, not engineering; vague judge prompts produce vague scores; the judge can itself be wrong.","Braintrust|Arize Phoenix Evals|DeepEval","Vague criteria|judge equals task model with same blind spots|no examples|unpinned judge drifting",copilot,"AI drafts the judge prompt + rubric; PM owns the criteria and must calibrate it.","braintrust:how-to-eval|arize:phoenix-evals|aakashg:ankur-goyal",partial,high,med,producer,net-new,now
AT-12,modify,Calibrate an LLM judge against human labels,2-Eval-Spec,Eval & Spec Definition (hub),"Measure and maintain judge-to-human agreement so eval scores keep reflecting real quality.","Sample judged items|Collect human labels|Compute agreement (e.g., kappa)|Adjust the judge prompt|Re-measure on a holdout|Schedule recurring recalibration","Without calibration, scoring drift silently inflates or deflates results; the judge is an instrument that needs re-zeroing.","Braintrust|Arize Phoenix|spreadsheet","Trusting an uncalibrated judge|one-time calibration|no drift monitoring",copilot,"AI runs the agreement computation and proposes prompt fixes; PM owns the human-label ground truth.","braintrust:eval-driven-development|aakashg:ankur-goyal",partial,high,med,producer,T-124,now
AT-13,net-new,Run an eval-coverage gap analysis,2-Eval-Spec,Eval & Spec Definition (hub),"Find behaviors and slices with no automated grader before they regress in production.","List behaviors + slices|Map to evals|Flag gaps|Size each gap's risk|Recommend new evals","You can only safely automate what you can grade; coverage is the precondition for autonomy.","Braintrust|spreadsheet","Assuming a green suite equals covered|ignoring rare-but-severe slices",copilot,"AI cross-references behaviors against the suite; PM ranks gaps by risk.","braintrust:evals-are-the-new-prd|pixelbank:edd",partial,med,med,none,net-new,now
AT-14,modify,Build slice and segment evals,2-Eval-Spec,Eval & Spec Definition (hub),"Score the system by input type, length, language, and user segment to catch localized regressions.","Define slices|Split the dataset|Run per-slice scoring|Flag the worst slices|Track slice trend","An aggregate pass can hide a broken slice; quality is a distribution, read it by segment.","Braintrust|Arize Phoenix|warehouse SQL","Aggregate-only reporting|under-powered slices|ignoring language/locale",copilot,"AI computes per-slice scores; PM judges which slices matter.","braintrust:how-to-eval|arxiv:llm-agent-eval-survey-2025",gated,med,none,none,T-079,now
AT-15,modify,Version and changelog an eval suite,2-Eval-Spec,Eval & Spec Definition (hub),"Snapshot and changelog the eval suite so score movements are attributable to suite vs system changes.","Snapshot the suite|Diff vs prior version|Note threshold/criteria changes|Tag the release","If the ruler changes silently you cannot tell improvement from measurement drift; version the ruler.","Braintrust|git","Silent threshold changes|untracked dataset edits|no changelog",autonomous,"AI snapshots and diffs the suite automatically into a changelog.","braintrust:eval-driven-development",gated,med,none,none,T-123,now
AT-16,modify,Define the release quality bar (eval thresholds),2-Eval-Spec,Eval & Spec Definition (hub),"Pre-commit the exact eval thresholds that decide ship/hold for any model or prompt change.","Pick the gating metrics|Set pass thresholds + CIs|Set guardrail floors (safety, groundedness)|Lock the bar before the change|Document it","Pre-register the bar before data exists to prevent motivated reasoning at ship time; the gate is the eval, not a vibe.","Braintrust|docs","Setting the bar after seeing results|no guardrail floors|moving goalposts",human-led,"AI proposes thresholds from history; PM owns and locks the bar.","braintrust:eval-driven-development|aakashg:ankur-goyal",gated,high,med,none,T-138;T-031,now
AT-17,modify,Author adversarial and regression eval cases from an incident,2-Eval-Spec,Eval & Spec Definition (hub),"Turn a production failure into a permanent regression test so it never silently returns.","Take the failing trace|Minimize a reliable repro|Encode expected behavior|Add to the regression set|Confirm it fails pre-fix and passes post-fix","Every incident is a free eval case; a fixed bug without a regression test is a bug waiting to recur.","Braintrust|Promptfoo","Fixing without a regression case|non-reproducible case|over-specific case that never re-triggers",copilot,"AI drafts the regression case from the trace; PM confirms it captures the real failure.","braintrust:eval-driven-development|pixelbank:edd",gated,high,med,producer,T-053,now
AT-18,modify,Run the weekly eval-score review,2-Eval-Spec,Eval & Spec Definition (hub),"Hold a weekly team review of eval-score movement and regressions, not a feature demo.","Pull the week's eval scores|Flag regressions + wins|Tie each move to a change|Assign follow-ups|Update the bar if needed","The flywheel is the new sprint cycle; demo scores weekly so regressions surface in days, not quarters.","Braintrust|Slack|spreadsheet","Demoing features instead of scores|no owner per regression|ignoring slow drift",copilot,"AI assembles the weekly score delta + candidate causes; PM runs the judgment.","braintrust:evals-are-the-new-prd|aakashg:ankur-goyal",gated,med,none,none,T-073,now
AT-19,net-new,Author and version a prompt in the registry,3-System-Agent,System & Agent Design,"Write and version a prompt as a tracked artifact linked to its eval.","Draft the prompt|Diff vs current|Tag a version|Link the governing eval|Register","Prompts are code; version them, link them to an eval, and never edit prod prompts in place.","Braintrust prompts|LangSmith Hub|PromptLayer","Editing prod prompts untracked|no eval link|prompt sprawl",copilot,"AI drafts and diffs prompt versions; PM owns intent and the eval link.","braintrust:eval-driven-development|aakashg:ankur-goyal",gated,high,med,none,net-new,now
AT-20,net-new,Prompt regression test before merge,3-System-Agent,System & Agent Design,"Run a candidate prompt against the eval set and block the merge on any score regression.","Run candidate vs baseline on the eval set|Compare scores per dimension|Block on regression|Report deltas","A one-line prompt edit is a distribution change; gate it like code, because it can silently regress everything.","Braintrust CI|Promptfoo|GitHub Actions","Shipping prompt edits ungated|eyeballing a few outputs|ignoring slice regressions",autonomous,"Runs unattended as a CI gate; blocks regressions automatically.","braintrust:eval-driven-development|pixelbank:edd",gated,high,med,none,net-new,now
AT-21,net-new,Context-window budget design,3-System-Agent,System & Agent Design,"Decide what enters the context window and at what token cost for a given task.","Inventory context sources|Rank by value per token|Set the token budget|Test truncation/eviction behavior|Eval quality vs budget","Context is a scarce, paid resource; more tokens is not more quality past the point of dilution.","tokenizer|tracing|spreadsheet","Stuffing context|ignoring cost per token|no eval on truncation",copilot,"AI proposes the budget and tests truncation; PM sets the value ranking.","pixelbank:edd|concept:grounded-data-analyst",partial,med,none,none,net-new,now
AT-22,net-new,Design or iterate a RAG retrieval pipeline,3-System-Agent,System & Agent Design,"Design chunking, embeddings, and reranking for retrieval-augmented generation.","Choose chunking strategy|Pick the embedding model|Add a reranker|Wire retrieved context to the prompt|Eval end-to-end","Retrieval quality caps answer quality; a wrong chunk is a confident wrong answer.","LlamaIndex|LangChain|pgvector/Pinecone/Weaviate|Cohere rerank","Chunking by bytes not meaning|no reranker|ignoring retrieval recall",copilot,"AI iterates the pipeline configs; PM owns the quality target.","concept:llm-observability|arize:phoenix-evals",partial,high,med,none,net-new,now
AT-23,net-new,Eval retrieval quality,3-System-Agent,System & Agent Design,"Measure recall@k and the groundedness of retrieved context independently of the generator.","Build a retrieval eval set|Measure recall@k|Measure answer groundedness on retrieved context|Flag low-recall queries","Separate retrieval failures from generation failures, or you will tune the wrong half.","Arize Phoenix (RAG metrics)|Ragas|Braintrust","Only evaluating the final answer|no recall measurement|ignoring grounding",copilot,"AI computes recall@k and groundedness; PM judges acceptable retrieval.","arize:phoenix-evals|concept:llm-observability",gated,high,med,none,net-new,now
AT-24,modify,Design a tool or function schema,3-System-Agent,System & Agent Design,"Specify the tool contract the model calls: inputs, outputs, errors, and model-legible descriptions.","Define inputs/outputs|Specify error semantics|Write a description the model can act on|Test with the model|Version the schema","The tool description is a prompt; design for the model's job, and make errors part of the contract.","JSON Schema|OpenAI/Anthropic tool specs|MCP","Human-centric naming|undefined errors|ambiguous descriptions the model misuses",copilot,"AI drafts the schema + description; PM/eng confirm the contract.","arxiv:llm-agent-eval-survey-2025|otel:genai-semconv",partial,high,med,none,T-039,now
AT-25,net-new,Eval tool-call accuracy,3-System-Agent,System & Agent Design,"Measure whether the model selects the right tool with the right arguments.","Build a tool-use eval set|Score tool selection|Score argument accuracy|Flag systematic misuse","Tool-use is a distinct capability with its own benchmark; an agent that calls the wrong tool well is still wrong.","BFCL-style harness|Braintrust|tau-bench-style scenarios","Only scoring final answer|ignoring arg errors|no negative (should-not-call) cases",copilot,"AI scores selection + args against gold; PM curates the scenarios.","concept:agent-benchmarking|arxiv:llm-agent-eval-survey-2025",gated,high,med,none,net-new,now
AT-26,modify,Select or evaluate an MCP server (governance + reliability),3-System-Agent,System & Agent Design,"Evaluate and approve an MCP server for reliability, schema quality, and security before wiring it in.","Check provenance + governance (managed vs shadow)|Test schema + reliability|Eval tool-call success rate|Review security/permission surface|Approve or reject","An MCP server is third-party code in your agent loop; unvetted servers bypass security and audit controls.","MCP registry|Runlayer-managed servers|Promptfoo|trace logs","Installing shadow/unmanaged servers|trusting marketing over testing|ignoring permission scope",copilot,"AI tests reliability + schema; PM/security own the governance approval.","otel:genai-semconv|concept:grounded-data-analyst",partial,med,high,none,T-119;T-026,now
AT-27,net-new,Design the agent loop or harness,3-System-Agent,System & Agent Design,"Define the plan-act-observe loop, termination conditions, and tool-call ceilings for the agent.","Define the loop structure|Set stop/termination conditions|Set max steps + token ceiling|Handle tool errors + retries|Spec memory hooks","The harness is the product; unbounded loops burn money and an agent with no stop condition fails unsafely.","LangGraph|OpenAI Agents SDK|custom harness","No termination condition|unbounded tool-calls|silent infinite loops|no error handling",copilot,"AI proposes loop + guards; PM/eng own the architecture and limits.","arxiv:gaia2-are-2025|concept:grounded-data-analyst",partial,high,high,none,net-new,now
AT-28,net-new,"Set the agent step, tool-call, and token budget",3-System-Agent,System & Agent Design,"Bound cost and loops per run with explicit step, tool-call, and token ceilings.","Set max tool-calls|Set max tokens per run|Set a per-run cost cap|Add a loop-guard|Alert on cap hits","Every run has a cost ceiling or it has none; the budget is a safety and an economics control at once.","AI service config|model gateway|Helicone","No per-run cap|runaway loops|no alert on cap breaches",copilot,"AI recommends budgets from run telemetry; PM sets the ceiling.","concept:llm-observability|concept:grounded-data-analyst",partial,med,med,none,net-new,now
AT-29,modify,Run a model bake-off on your eval set,3-System-Agent,System & Agent Design,"Select a model by running candidates through your own rubric, not public leaderboards.","Pick candidate models|Run your eval suite on each|Compare quality/cost/latency|Note slice differences|Recommend the model","Choose on your task, not someone else's benchmark; the cheapest model that clears your bar wins.","OpenRouter|Braintrust|LiteLLM","Choosing by leaderboard|ignoring cost/latency|single-slice comparison",copilot,"AI runs the bake-off matrix; PM weighs the cost/quality/latency trade.","concept:agent-benchmarking|braintrust:how-to-eval",gated,high,med,none,T-025;T-119,now
AT-30,net-new,Design a model routing policy,3-System-Agent,System & Agent Design,"Route easy tasks to a cheap model and hard tasks to a strong one, with a fallback chain.","Define the routing signal|Set thresholds|Define the fallback chain|Eval routed vs single-model|Monitor route mix","Routing is the cost-quality lever; most traffic is easy, so do not pay frontier prices for it.","LiteLLM|OpenRouter|NotDiamond/RouteLLM|Martian","Routing without an eval|no fallback|routing signal that misclassifies hard tasks",copilot,"AI proposes and evaluates the policy; PM owns the cost/quality target.","concept:llm-observability|concept:agent-benchmarking",gated,high,med,none,net-new,now
AT-31,net-new,Run a prompt-optimization pass (DSPy/GEPA),3-System-Agent,System & Agent Design,"Auto-optimize a prompt against the eval metric and validate the gain on a holdout.","Define the optimization metric|Run the optimizer|Validate on held-out data|Diff vs the hand-written prompt|Promote or discard","Optimize against the eval, not vibes; an optimizer that overfits the dev set is a regression in disguise.","DSPy|GEPA|OpenAI prompt optimizer","Overfitting the dev set|no holdout validation|optimizing a mis-specified metric",autonomous,"The optimizer runs the search; PM validates the holdout gain.","braintrust:eval-driven-development|arxiv:llm-agent-eval-survey-2025",gated,high,med,none,net-new,now
AT-32,net-new,Design agent memory,3-System-Agent,System & Agent Design,"Decide what persists across turns/runs, how it is retrieved, and how it is bounded and protected.","Define memory scope|Set write/read policy|Define staleness/eviction|Address privacy of stored memory|Eval retrieval relevance","Memory is state with privacy and staleness risk; stale or leaked memory is worse than none.","vector store|agent framework|pgvector","Unbounded memory growth|stale memory poisoning answers|storing PII without controls",copilot,"AI proposes the memory design; PM owns scope, privacy, and eviction.","arxiv:gaia2-are-2025|otel:genai-semconv",partial,med,high,none,net-new,now
AT-33,net-new,Design a preference-data collection task,4-Training-Flywheel,Data & Training Flywheel,"Define the comparison units (prompts, response pairs, ranking rules) that feed RLHF/DPO.","Define the prompt distribution|Choose a pairing strategy|Source candidate responses|Define the comparison schema|Pilot with a small batch","Preference data is the product spec encoded as comparisons; garbage pairs train a garbage reward.","Surge AI|Mercor|Labelbox|Argilla","Unrepresentative prompts|ambiguous comparisons|no pilot",copilot,"AI drafts the task design + schema; PM owns what preferred means.","mercor:rlhf|syncsoft:rlhf-rlaif-2026",partial,high,med,producer,net-new,later
AT-34,net-new,Write annotation and rater guidelines,4-Training-Flywheel,Data & Training Flywheel,"Author the rubric humans (and AI judges) follow when labeling preferences or quality.","Define criteria|Give good/bad examples|Write tie-break rules|Cover edge cases|Version the guideline","Inconsistent raters train a noisy reward; the guideline is the calibration source for both humans and AI judges.","docs|Label Studio|Argilla","Vague criteria|no examples|no tie-break rules",human-led,"AI drafts the guideline from examples; PM owns the definition of good.","mercor:rlhf|syncsoft:rlhf-rlaif-2026",partial,high,med,producer,net-new,later
AT-35,modify,Recruit and calibrate raters; measure inter-rater agreement,4-Training-Flywheel,Data & Training Flywheel,"Recruit, qualify, and calibrate human raters and track inter-rater agreement.","Recruit/qualify raters|Run a calibration set|Compute inter-rater agreement|Re-train low-agreement raters|Manage the vendor","If raters disagree the reward learns noise; agreement is the quality floor of the whole training loop.","Surge AI|Mercor|Labelbox","No calibration set|ignoring low agreement|unmanaged vendor quality variance",human-led,"AI computes agreement + flags outliers; PM/vendor own rater quality.","mercor:rlhf|intuitionlabs:rlhf-platforms-2026",partial,high,med,producer,T-021,later
AT-36,net-new,Audit preference-data quality,4-Training-Flywheel,Data & Training Flywheel,"Catch noisy, biased, or gamed labels before they train the reward model.","Sample labels|Re-label a gold subset|Flag drift/bias|Quarantine bad batches|Report quality","A bad label compounds through the reward into the policy; audit before you train, not after.","Argilla|Snorkel|spreadsheet","Trusting vendor labels blind|no gold re-label|ignoring batch effects",copilot,"AI flags suspicious labels + computes drift; PM sets the quality bar.","mercor:rlhf|syncsoft:rlhf-rlaif-2026",partial,high,med,producer,net-new,later
AT-37,net-new,Spec a reward-model train and eval,4-Training-Flywheel,Data & Training Flywheel,"Define what the reward model should reward and how its quality is independently tested.","Define the reward target|Pick the training data|Spec a held-out RM eval|Set acceptance criteria|Plan portability for online RL/eval","A reward model is a portable scorer; spec its eval as rigorously as the policy's, or it will reward the wrong thing.","TRL|OpenRLHF|Braintrust","No held-out RM eval|reward target misaligned with product|untested reward",human-led,"AI drafts the train/eval spec; PM owns the reward definition.","mercor:rlhf|pmlr:rlaif-lee-2024|intellect3:rl-stack",gated,high,high,producer,net-new,later
AT-38,net-new,Detect reward hacking and reward-model gaming,4-Training-Flywheel,Data & Training Flywheel,"Find where the policy exploits the reward to get high scores with low real quality.","Inspect high-reward/low-quality samples|Probe known exploits|Quantify the gap|Patch the reward/verifier|Re-test","Any reward will be gamed; the question is whether you find the exploit before your users do.","eval suite|manual review|Braintrust","Trusting the reward number|no adversarial probing|patching symptoms not the reward",copilot,"AI surfaces high-reward/low-quality divergences; PM judges the exploit.","mercor:rlhf|arxiv:gaia2-are-2025",partial,high,high,producer,net-new,later
AT-39,net-new,Design an RLAIF or Constitutional preference pipeline,4-Training-Flywheel,Data & Training Flywheel,"Use an AI judge to label routine preferences and route only ambiguous or high-stakes cases to humans.","Write the constitution/judge rubric|Generate AI preference labels|Route ambiguous cases to humans|Validate AI labels vs human on a sample|Monitor label quality","AI labels are far cheaper than human pairs and comparable on clear cases; reserve humans for the hard, high-stakes ones.","Constitutional-AI-style judge|Surge/Mercor (hard cases)|Argilla","Circular AI-judging-AI on ambiguous cases|no human validation|over-trusting AI labels on high-stakes",copilot,"The pipeline auto-labels at scale; PM owns the constitution + the human-routing rule.","pmlr:rlaif-lee-2024|syncsoft:rlhf-rlaif-2026|mercor:rlhf",partial,high,high,producer,net-new,later
AT-40,net-new,Curate an SFT dataset,4-Training-Flywheel,Data & Training Flywheel,"Assemble supervised fine-tuning examples from prod traces and expert demonstrations.","Select demonstrations|Clean and format|De-dup vs the eval set|Label quality|Version","SFT data quality sets the ceiling; a few hundred excellent examples beat a noisy pile.","warehouse|Argilla|TRL","Leakage into eval|low-quality demos|format inconsistency",copilot,"AI proposes candidate examples; PM curates the gold demonstrations.","intellect3:rl-stack|mercor:rlhf",partial,high,med,producer,net-new,later
AT-41,net-new,Plan a distillation run and eval gate,4-Training-Flywheel,Data & Training Flywheel,"Plan distilling a strong teacher into a cheaper student, gated on an eval acceptance bar.","Pick teacher + student|Generate the distillation set|Set eval acceptance|Run + eval the student|Gate the ship","Distillation trades quality for cost; gate on the eval or you ship a quietly worse model to save money.","TRL|vLLM|Braintrust","No eval gate|distilling a biased teacher|ignoring slice regressions",copilot,"AI runs the distill + eval; PM owns the quality-vs-cost acceptance.","intellect3:rl-stack|braintrust:eval-driven-development",gated,high,med,producer,net-new,later
AT-42,net-new,Decide fine-tune vs prompt vs RAG,4-Training-Flywheel,Data & Training Flywheel,"Make the build-method call for a capability gap: prompt, retrieve, or train.","Frame the capability gap|Estimate cost/latency/quality of each path|Check data availability|Weigh maintenance burden|Recommend and document","Fine-tuning is the last resort, not the first; for an orchestrator the answer is usually prompt/RAG until evals prove otherwise.","decision doc|eval data|spreadsheet","Fine-tuning prematurely|ignoring data cost|no eval evidence for the choice",human-led,"AI models the trade-offs; PM owns the build-vs-train decision.","braintrust:eval-driven-development|concept:grounded-data-analyst",partial,med,none,none,net-new,now
AT-43,net-new,Author an RL environment (dataset + harness + reward),4-Training-Flywheel,Data & Training Flywheel,"Author a verifiable environment for training/eval; an environment and an agent eval are the same object.","Define task inputs (dataset)|Spec the harness/sandbox + tools|Write the reward/rubric|Version as a module|Publish to the env registry","An RL environment and an agent eval are the same thing - dataset + harness + scoring rules; build it once, use it for both.","Prime Intellect verifiers|Environments Hub|prime-rl","Treating envs and evals as separate|non-reproducible harness|reward that is easy to game",human-led,"AI scaffolds the env module; PM owns the task definition + reward.","primeintellect:verifiers|primeintellect:environments-hub|intellect3:rl-stack",gated,high,high,producer,net-new,later
AT-44,net-new,Design a sandbox or tool emulator for an environment,4-Training-Flywheel,Data & Training Flywheel,"Build deterministic, isolated stand-ins for real tools so the environment is safe and reproducible.","Enumerate the real tools|Build deterministic mocks|Seed environment state|Verify isolation|Validate fidelity vs real tools","Training/eval needs determinism and isolation; a sandbox that drifts from reality teaches the wrong lesson.","Modal|E2B|Daytona|Docker","Non-deterministic mocks|leaky isolation|emulator that diverges from prod tools",copilot,"AI generates the mocks; PM/eng verify fidelity and isolation.","primeintellect:verifiers|intellect3:rl-stack",partial,med,high,none,net-new,later
AT-45,net-new,Design and anti-game a reward or verifier function,4-Training-Flywheel,Data & Training Flywheel,"Make high reward actually mean good by red-teaming the reward against exploits.","Define a verifiable signal|List likely exploits|Add anti-gaming checks|Red-team the reward|Lock and version","Verifiable rewards (RLVR) are powerful and brittle; the reward is a spec the policy will attack relentlessly.","verifiers|custom checks|eval suite","Easily-gamed reward|reward proxy diverging from quality|no adversarial test",human-led,"AI proposes the reward + probes exploits; PM owns the verifiable definition.","primeintellect:verifiers|arxiv:gaia2-are-2025",gated,high,high,producer,net-new,later
AT-46,net-new,Generate and validate synthetic data,4-Training-Flywheel,Data & Training Flywheel,"Generate synthetic cases and prove they are useful and not contamination.","Define the generation recipe|Generate cases|Validate quality + diversity|Check leakage vs the eval set|Accept or discard","Unvalidated synthetic data is contamination wearing a costume; validate diversity and leakage before use.","frontier model|dedup/embedding tools|Argilla","Mode-collapsed generations|leakage into eval|no diversity check",copilot,"AI generates + self-checks; PM validates utility and leakage.","braintrust:how-to-eval|intellect3:rl-stack",partial,high,med,producer,net-new,now
AT-47,net-new,Run a train/eval contamination and leakage check,4-Training-Flywheel,Data & Training Flywheel,"Detect overlap between training data and the eval set so scores are not inflated.","Hash/embed both sets|Compute overlap/near-dupes|Flag contaminated cases|Quarantine|Re-split clean","A contaminated eval flatters you into shipping a worse model; clean separation is non-negotiable.","dedup/embedding tools|spreadsheet","Exact-match-only checks (missing near-dupes)|ignoring template leakage|no re-split",autonomous,"Runs as an automated leakage gate over train/eval splits.","intellect3:rl-stack|braintrust:eval-driven-development",gated,high,none,producer,net-new,now
AT-48,net-new,Wire the data flywheel (prod trace to dataset/eval/train),4-Training-Flywheel,Data & Training Flywheel,"Stand up the standing pipeline that turns production traces into eval/training data.","Define capture-to-dataset rules|Set a sampling policy|Scrub PII/consent|Route to eval (now) and train (later)|Set the cadence","Production traces are the next dataset; the flywheel is the compounding asset, and its leak is PII.","tracing (LangSmith/Langfuse)|Datasets|cron/pg_cron","No sampling policy|PII captured without consent|capturing without ever using it",copilot,"AI proposes the sampling + scrub rules; PM owns consent/PII policy.","braintrust:how-to-eval|concept:grounded-data-analyst",partial,high,high,producer,net-new,now
